Date,Open,High,Low,Close,Adj Close,Volume
1997-05-15,2.437500,2.500000,1.927083,1.958333,1.958333,72156000
1997-05-16,1.968750,1.979167,1.708333,1.729167,1.729167,14700000
1997-05-19,1.760417,1.770833,1.625000,1.708333,1.708333,6106800
1997-05-20,1.729167,1.750000,1.635417,1.635417,1.635417,5467200
1997-05-21,1.635417,1.645833,1.375000,1.427083,1.427083,18853200
1997-05-22,1.437500,1.447917,1.312500,1.395833,1.395833,11776800
1997-05-23,1.406250,1.520833,1.333333,1.500000,1.500000,15937200
1997-05-27,1.510417,1.645833,1.458333,1.583333,1.583333,8697600
1997-05-28,1.625000,1.635417,1.531250,1.531250,1.531250,4574400
1997-05-29,1.541667,1.541667,1.479167,1.505208,1.505208,3472800
1997-05-30,1.500000,1.510417,1.479167,1.500000,1.500000,2594400
1997-06-02,1.510417,1.531250,1.500000,1.510417,1.510417,591600
1997-06-03,1.531250,1.531250,1.479167,1.479167,1.479167,1183200
1997-06-04,1.479167,1.489583,1.395833,1.416667,1.416667,3080400
1997-06-05,1.416667,1.541667,1.375000,1.541667,1.541667,5672400
1997-06-06,1.515625,1.708333,1.510417,1.656250,1.656250,7807200
1997-06-09,1.656250,1.708333,1.656250,1.687500,1.687500,2352000
1997-06-10,1.708333,1.708333,1.531250,1.583333,1.583333,5458800
1997-06-11,1.593750,1.604167,1.531250,1.541667,1.541667,1188000
1997-06-12,1.583333,1.645833,1.552083,1.604167,1.604167,1632000
1997-06-13,1.625000,1.625000,1.583333,1.583333,1.583333,693600
1997-06-16,1.604167,1.604167,1.562500,1.572917,1.572917,913200
1997-06-17,1.598958,1.598958,1.494792,1.505208,1.505208,4706400
1997-06-18,1.520833,1.536458,1.500000,1.510417,1.510417,2464800
1997-06-19,1.510417,1.531250,1.500000,1.510417,1.510417,1003200
1997-06-20,1.531250,1.552083,1.500000,1.526042,1.526042,3387600
1997-06-23,1.541667,1.541667,1.479167,1.500000,1.500000,1047600
1997-06-24,1.505208,1.526042,1.479167,1.510417,1.510417,751200
1997-06-25,1.526042,1.526042,1.489583,1.510417,1.510417,2106000
1997-06-26,1.520833,1.520833,1.505208,1.510417,1.510417,3189600
1997-06-27,1.515625,1.515625,1.479167,1.489583,1.489583,1188000
1997-06-30,1.510417,1.598958,1.479167,1.541667,1.541667,2746800
1997-07-01,1.541667,1.541667,1.510417,1.515625,1.515625,1292400
1997-07-02,1.515625,1.593750,1.510417,1.588542,1.588542,3882000
1997-07-03,1.598958,1.916667,1.593750,1.911458,1.911458,12577200
1997-07-07,1.833333,2.020833,1.833333,2.000000,2.000000,8053200
1997-07-08,2.041667,2.333333,2.041667,2.302083,2.302083,15517200
1997-07-09,2.302083,2.385417,2.270833,2.322917,2.322917,8262000
1997-07-10,2.333333,2.572917,2.333333,2.562500,2.562500,9051600
1997-07-11,2.520833,2.520833,2.208333,2.291667,2.291667,10531200
1997-07-14,2.322917,2.333333,2.114583,2.135417,2.135417,4604400
1997-07-15,2.135417,2.479167,2.135417,2.437500,2.437500,9274800
1997-07-16,2.447917,2.494792,2.302083,2.333333,2.333333,3024000
1997-07-17,2.343750,2.343750,2.156250,2.218750,2.218750,3169200
1997-07-18,2.187500,2.218750,2.156250,2.156250,2.156250,780000
1997-07-21,2.177083,2.197917,2.145833,2.182292,2.182292,574800
1997-07-22,2.166667,2.187500,2.062500,2.135417,2.135417,1563600
1997-07-23,2.187500,2.333333,2.177083,2.291667,2.291667,3259200
1997-07-24,2.302083,2.312500,2.218750,2.260417,2.260417,1216800
1997-07-25,2.218750,2.250000,2.218750,2.229167,2.229167,620400
1997-07-28,2.229167,2.395833,2.218750,2.322917,2.322917,2574000
1997-07-29,2.364583,2.500000,2.333333,2.479167,2.479167,4814400
1997-07-30,2.500000,2.505208,2.427083,2.447917,2.447917,2517600
1997-07-31,2.437500,2.437500,2.333333,2.395833,2.395833,1454400
1997-08-01,2.343750,2.416667,2.250000,2.416667,2.416667,3588000
1997-08-04,2.375000,2.411458,2.302083,2.312500,2.312500,2671200
1997-08-05,2.333333,2.333333,2.145833,2.208333,2.208333,3032400
1997-08-06,2.208333,2.312500,2.187500,2.250000,2.250000,1243200
1997-08-07,2.250000,2.260417,2.125000,2.177083,2.177083,2034000
1997-08-08,2.166667,2.302083,2.104167,2.291667,2.291667,2211600
1997-08-11,2.291667,2.333333,2.250000,2.328125,2.328125,1239600
1997-08-12,2.281250,2.302083,2.197917,2.197917,2.197917,571200
1997-08-13,2.229167,2.229167,2.166667,2.197917,2.197917,590400
1997-08-14,2.177083,2.250000,2.119792,2.156250,2.156250,1041600
1997-08-15,2.135417,2.156250,1.937500,2.114583,2.114583,1597200
1997-08-18,2.052083,2.052083,1.968750,2.041667,2.041667,1784400
1997-08-19,2.093750,2.208333,2.052083,2.166667,2.166667,1003200
1997-08-20,2.187500,2.187500,2.072917,2.166667,2.166667,999600
1997-08-21,2.135417,2.171875,2.072917,2.114583,2.114583,624000
1997-08-22,2.104167,2.125000,2.093750,2.125000,2.125000,712800
1997-08-25,2.104167,2.260417,2.104167,2.218750,2.218750,1126800
1997-08-26,2.239583,2.354167,2.229167,2.343750,2.343750,2574000
1997-08-27,2.307292,2.322917,2.250000,2.317708,2.317708,1392000
1997-08-28,2.302083,2.395833,2.281250,2.375000,2.375000,1147200
1997-08-29,2.364583,2.375000,2.322917,2.338542,2.338542,722400
1997-09-02,2.343750,2.375000,2.333333,2.354167,2.354167,732000
1997-09-03,2.343750,2.416667,2.312500,2.333333,2.333333,1964400
1997-09-04,2.364583,2.552083,2.343750,2.552083,2.552083,3348000
1997-09-05,2.583333,2.666667,2.458333,2.500000,2.500000,1908000
